date,region,customer_segment,product_category,revenue,units_sold,customer_id
2023-01-15,North America,Enterprise,Electronics,125000,450,C001
2023-01-15,EMEA,SMB,Clothing,45000,890,C002
2023-01-15,APAC,Enterprise,Home & Garden,98000,320,C003
2023-01-20,North America,SMB,Electronics,67000,280,C004
2023-01-20,LATAM,Enterprise,Sports & Outdoors,52000,190,C005
2023-02-10,North America,Enterprise,Electronics,135000,510,C001
2023-02-10,EMEA,Enterprise,Clothing,78000,1240,C006
2023-02-10,APAC,SMB,Electronics,43000,180,C007
2023-02-15,LATAM,SMB,Home & Garden,28000,140,C008
2023-02-15,North America,Enterprise,Sports & Outdoors,91000,340,C009
2023-03-05,EMEA,SMB,Electronics,51000,220,C010
2023-03-05,APAC,Enterprise,Clothing,112000,1850,C003
2023-03-10,North America,SMB,Home & Garden,39000,195,C011
2023-03-10,LATAM,Enterprise,Electronics,88000,370,C005
2023-03-20,North America,Enterprise,Electronics,142000,560,C001
2023-04-12,APAC,SMB,Sports & Outdoors,31000,125,C012
2023-04-12,EMEA,Enterprise,Electronics,156000,640,C013
2023-04-15,North America,Enterprise,Clothing,98000,1620,C014
2023-04-20,LATAM,SMB,Home & Garden,24000,115,C015
2023-05-08,North America,Enterprise,Electronics,148000,590,C001
2023-05-08,APAC,Enterprise,Clothing,124000,2050,C003
2023-05-15,EMEA,SMB,Sports & Outdoors,47000,195,C016
2023-05-20,LATAM,Enterprise,Electronics,95000,405,C005
2023-06-10,North America,SMB,Home & Garden,42000,210,C017
2023-06-10,APAC,SMB,Electronics,48000,205,C018
2023-06-15,EMEA,Enterprise,Clothing,165000,2720,C019
2023-07-05,North America,Enterprise,Electronics,152000,610,C001
2023-07-05,LATAM,SMB,Sports & Outdoors,29000,120,C020
2023-07-10,APAC,Enterprise,Home & Garden,118000,385,C003
2023-07-15,EMEA,SMB,Electronics,54000,235,C021
2023-08-08,North America,Enterprise,Clothing,105000,1730,C022
2023-08-08,LATAM,Enterprise,Electronics,102000,440,C005
2023-08-15,APAC,SMB,Sports & Outdoors,35000,145,C023
2023-08-20,EMEA,Enterprise,Home & Garden,89000,350,C024
2023-09-10,North America,Enterprise,Electronics,158000,635,C001
2023-09-10,APAC,Enterprise,Clothing,132000,2180,C003
2023-09-15,EMEA,SMB,Electronics,58000,250,C025
2023-09-20,LATAM,SMB,Home & Garden,27000,130,C026
2023-10-05,North America,SMB,Sports & Outdoors,48000,200,C027
2023-10-05,APAC,Enterprise,Electronics,145000,610,C003
2023-10-10,EMEA,Enterprise,Clothing,178000,2930,C028
2023-10-15,LATAM,Enterprise,Home & Garden,67000,265,C005
2023-11-08,North America,Enterprise,Electronics,168000,675,C001
2023-11-08,APAC,SMB,Clothing,52000,860,C029
2023-11-15,EMEA,Enterprise,Electronics,185000,770,C030
2023-11-20,LATAM,SMB,Sports & Outdoors,32000,135,C031
2023-12-10,North America,Enterprise,Home & Garden,125000,495,C001
2023-12-10,APAC,Enterprise,Electronics,158000,665,C003
2023-12-15,EMEA,SMB,Clothing,64000,1055,C032
2023-12-20,LATAM,Enterprise,Sports & Outdoors,78000,315,C005
